"Station","Year","Month","Day","Night","DayLimit","NightLimit","Date","Name","City","State","Type","Day_Exceed","Night_Exceed","Day_Status","Night_Status"
"BEN05",2011,11,57,76,75,70,2011-11-01,"Peeniya","Bengaluru","Karnataka","Industrial",-18,6,"Within Limit","Exceeded"
"BEN05",2011,12,56,49,75,70,2011-12-01,"Peeniya","Bengaluru","Karnataka","Industrial",-19,-21,"Within Limit","Within Limit"
"CHE01",2011,2,65,50,50,40,2011-02-01,"Eye Hospital","Chennai","Tamil Nadu","Silence",15,10,"Exceeded","Exceeded"
"CHE01",2011,3,64,51,50,40,2011-03-01,"Eye Hospital","Chennai","Tamil Nadu","Silence",14,11,"Exceeded","Exceeded"
"CHE01",2011,4,65,52,50,40,2011-04-01,"Eye Hospital","Chennai","Tamil Nadu","Silence",15,12,"Exceeded","Exceeded"
"CHE01",2011,5,64,53,50,40,2011-05-01,"Eye Hospital","Chennai","Tamil Nadu","Silence",14,13,"Exceeded","Exceeded"
"CHE01",2011,6,64,53,50,40,2011-06-01,"Eye Hospital","Chennai","Tamil Nadu","Silence",14,13,"Exceeded","Exceeded"
"CHE01",2011,7,64,53,50,40,2011-07-01,"Eye Hospital","Chennai","Tamil Nadu","Silence",14,13,"Exceeded","Exceeded"
"CHE01",2011,8,64,53,50,40,2011-08-01,"Eye Hospital","Chennai","Tamil Nadu","Silence",14,13,"Exceeded","Exceeded"
"CHE01",2011,9,63,52,50,40,2011-09-01,"Eye Hospital","Chennai","Tamil Nadu","Silence",13,12,"Exceeded","Exceeded"
"CHE01",2011,10,64,51,50,40,2011-10-01,"Eye Hospital","Chennai","Tamil Nadu","Silence",14,11,"Exceeded","Exceeded"
"CHE01",2011,11,63,50,50,40,2011-11-01,"Eye Hospital","Chennai","Tamil Nadu","Silence",13,10,"Exceeded","Exceeded"
"CHE01",2011,12,64,51,50,40,2011-12-01,"Eye Hospital","Chennai","Tamil Nadu","Silence",14,11,"Exceeded","Exceeded"
"CHE02",2011,2,77,72,75,70,2011-02-01,"Guindy","Chennai","Tamil Nadu","Industrial",2,2,"Exceeded","Exceeded"
"CHE02",2011,3,77,74,75,70,2011-03-01,"Guindy","Chennai","Tamil Nadu","Industrial",2,4,"Exceeded","Exceeded"
"CHE02",2011,4,76,71,75,70,2011-04-01,"Guindy","Chennai","Tamil Nadu","Industrial",1,1,"Exceeded","Exceeded"
"CHE02",2011,5,76,72,75,70,2011-05-01,"Guindy","Chennai","Tamil Nadu","Industrial",1,2,"Exceeded","Exceeded"
"CHE02",2011,6,76,72,75,70,2011-06-01,"Guindy","Chennai","Tamil Nadu","Industrial",1,2,"Exceeded","Exceeded"
"CHE02",2011,7,76,72,75,70,2011-07-01,"Guindy","Chennai","Tamil Nadu","Industrial",1,2,"Exceeded","Exceeded"
"CHE02",2011,8,76,72,75,70,2011-08-01,"Guindy","Chennai","Tamil Nadu","Industrial",1,2,"Exceeded","Exceeded"
"CHE02",2011,9,76,72,75,70,2011-09-01,"Guindy","Chennai","Tamil Nadu","Industrial",1,2,"Exceeded","Exceeded"
"CHE02",2011,10,76,72,75,70,2011-10-01,"Guindy","Chennai","Tamil Nadu","Industrial",1,2,"Exceeded","Exceeded"
"CHE02",2011,11,75,70,75,70,2011-11-01,"Guindy","Chennai","Tamil Nadu","Industrial",0,0,"Within Limit","Within Limit"
"CHE02",2011,12,75,69,75,70,2011-12-01,"Guindy","Chennai","Tamil Nadu","Industrial",0,-1,"Within Limit","Within Limit"
"CHE03",2011,2,67,58,65,55,2011-02-01,"Perambur","Chennai","Tamil Nadu","Commercial",2,3,"Exceeded","Exceeded"
"CHE03",2011,3,68,57,65,55,2011-03-01,"Perambur","Chennai","Tamil Nadu","Commercial",3,2,"Exceeded","Exceeded"
"CHE03",2011,4,68,58,65,55,2011-04-01,"Perambur","Chennai","Tamil Nadu","Commercial",3,3,"Exceeded","Exceeded"
"CHE03",2011,5,68,60,65,55,2011-05-01,"Perambur","Chennai","Tamil Nadu","Commercial",3,5,"Exceeded","Exceeded"
"CHE03",2011,6,68,59,65,55,2011-06-01,"Perambur","Chennai","Tamil Nadu","Commercial",3,4,"Exceeded","Exceeded"
"CHE03",2011,7,68,60,65,55,2011-07-01,"Perambur","Chennai","Tamil Nadu","Commercial",3,5,"Exceeded","Exceeded"
"CHE03",2011,8,68,60,65,55,2011-08-01,"Perambur","Chennai","Tamil Nadu","Commercial",3,5,"Exceeded","Exceeded"
"CHE03",2011,9,68,59,65,55,2011-09-01,"Perambur","Chennai","Tamil Nadu","Commercial",3,4,"Exceeded","Exceeded"
"CHE03",2011,10,69,58,65,55,2011-10-01,"Perambur","Chennai","Tamil Nadu","Commercial",4,3,"Exceeded","Exceeded"
"CHE03",2011,11,69,60,65,55,2011-11-01,"Perambur","Chennai","Tamil Nadu","Commercial",4,5,"Exceeded","Exceeded"
"CHE03",2011,12,71,59,65,55,2011-12-01,"Perambur","Chennai","Tamil Nadu","Commercial",6,4,"Exceeded","Exceeded"
"CHE04",2011,2,73,61,65,55,2011-02-01,"T. Nagar","Chennai","Tamil Nadu","Commercial",8,6,"Exceeded","Exceeded"
"CHE04",2011,3,72,61,65,55,2011-03-01,"T. Nagar","Chennai","Tamil Nadu","Commercial",7,6,"Exceeded","Exceeded"
"CHE04",2011,4,72,61,65,55,2011-04-01,"T. Nagar","Chennai","Tamil Nadu","Commercial",7,6,"Exceeded","Exceeded"
"CHE04",2011,5,72,63,65,55,2011-05-01,"T. Nagar","Chennai","Tamil Nadu","Commercial",7,8,"Exceeded","Exceeded"
"CHE04",2011,6,73,64,65,55,2011-06-01,"T. Nagar","Chennai","Tamil Nadu","Commercial",8,9,"Exceeded","Exceeded"
"CHE04",2011,7,73,62,65,55,2011-07-01,"T. Nagar","Chennai","Tamil Nadu","Commercial",8,7,"Exceeded","Exceeded"
"CHE04",2011,8,73,63,65,55,2011-08-01,"T. Nagar","Chennai","Tamil Nadu","Commercial",8,8,"Exceeded","Exceeded"
"CHE04",2011,9,73,62,65,55,2011-09-01,"T. Nagar","Chennai","Tamil Nadu","Commercial",8,7,"Exceeded","Exceeded"
"CHE04",2011,10,74,62,65,55,2011-10-01,"T. Nagar","Chennai","Tamil Nadu","Commercial",9,7,"Exceeded","Exceeded"
"CHE04",2011,11,73,61,65,55,2011-11-01,"T. Nagar","Chennai","Tamil Nadu","Commercial",8,6,"Exceeded","Exceeded"
"CHE04",2011,12,72,60,65,55,2011-12-01,"T. Nagar","Chennai","Tamil Nadu","Commercial",7,5,"Exceeded","Exceeded"
"CHE05",2011,2,43,46,55,45,2011-02-01,"Triplicane","Chennai","Tamil Nadu","Residential",-12,1,"Within Limit","Exceeded"
"CHE05",2011,3,43,47,55,45,2011-03-01,"Triplicane","Chennai","Tamil Nadu","Residential",-12,2,"Within Limit","Exceeded"
"CHE05",2011,4,55,48,55,45,2011-04-01,"Triplicane","Chennai","Tamil Nadu","Residential",0,3,"Within Limit","Exceeded"
"CHE05",2011,5,67,56,55,45,2011-05-01,"Triplicane","Chennai","Tamil Nadu","Residential",12,11,"Exceeded","Exceeded"
"CHE05",2011,6,68,57,55,45,2011-06-01,"Triplicane","Chennai","Tamil Nadu","Residential",13,12,"Exceeded","Exceeded"
"CHE05",2011,7,67,56,55,45,2011-07-01,"Triplicane","Chennai","Tamil Nadu","Residential",12,11,"Exceeded","Exceeded"
"CHE05",2011,8,68,57,55,45,2011-08-01,"Triplicane","Chennai","Tamil Nadu","Residential",13,12,"Exceeded","Exceeded"
"CHE05",2011,9,68,56,55,45,2011-09-01,"Triplicane","Chennai","Tamil Nadu","Residential",13,11,"Exceeded","Exceeded"
"CHE05",2011,10,68,55,55,45,2011-10-01,"Triplicane","Chennai","Tamil Nadu","Residential",13,10,"Exceeded","Exceeded"
"CHE05",2011,11,68,55,55,45,2011-11-01,"Triplicane","Chennai","Tamil Nadu","Residential",13,10,"Exceeded","Exceeded"
"CHE05",2011,12,68,55,55,45,2011-12-01,"Triplicane","Chennai","Tamil Nadu","Residential",13,10,"Exceeded","Exceeded"
"DEL01",2011,2,53,50,50,40,2011-02-01,"Dilshad Garden","Delhi","Delhi","Silence",3,10,"Exceeded","Exceeded"
"DEL01",2011,3,53,51,50,40,2011-03-01,"Dilshad Garden","Delhi","Delhi","Silence",3,11,"Exceeded","Exceeded"
"DEL01",2011,4,51,50,50,40,2011-04-01,"Dilshad Garden","Delhi","Delhi","Silence",1,10,"Exceeded","Exceeded"
"DEL01",2011,5,51,51,50,40,2011-05-01,"Dilshad Garden","Delhi","Delhi","Silence",1,11,"Exceeded","Exceeded"
"DEL01",2011,6,52,50,50,40,2011-06-01,"Dilshad Garden","Delhi","Delhi","Silence",2,10,"Exceeded","Exceeded"
"DEL01",2011,7,53,51,50,40,2011-07-01,"Dilshad Garden","Delhi","Delhi","Silence",3,11,"Exceeded","Exceeded"
"DEL01",2011,8,54,54,50,40,2011-08-01,"Dilshad Garden","Delhi","Delhi","Silence",4,14,"Exceeded","Exceeded"
"DEL01",2011,9,52,51,50,40,2011-09-01,"Dilshad Garden","Delhi","Delhi","Silence",2,11,"Exceeded","Exceeded"
"DEL01",2011,10,52,50,50,40,2011-10-01,"Dilshad Garden","Delhi","Delhi","Silence",2,10,"Exceeded","Exceeded"
"DEL01",2011,11,52,49,50,40,2011-11-01,"Dilshad Garden","Delhi","Delhi","Silence",2,9,"Exceeded","Exceeded"
"DEL01",2011,12,52,50,50,40,2011-12-01,"Dilshad Garden","Delhi","Delhi","Silence",2,10,"Exceeded","Exceeded"
"DEL02",2011,2,66,54,65,55,2011-02-01,"CPCB, HQ","Delhi","Delhi","Commercial",1,-1,"Exceeded","Within Limit"
"DEL02",2011,3,66,54,65,55,2011-03-01,"CPCB, HQ","Delhi","Delhi","Commercial",1,-1,"Exceeded","Within Limit"
"DEL02",2011,4,65,55,65,55,2011-04-01,"CPCB, HQ","Delhi","Delhi","Commercial",0,0,"Within Limit","Within Limit"
"DEL02",2011,5,65,56,65,55,2011-05-01,"CPCB, HQ","Delhi","Delhi","Commercial",0,1,"Within Limit","Exceeded"
"DEL02",2011,6,60,53,65,55,2011-06-01,"CPCB, HQ","Delhi","Delhi","Commercial",-5,-2,"Within Limit","Within Limit"
"DEL02",2011,7,62,52,65,55,2011-07-01,"CPCB, HQ","Delhi","Delhi","Commercial",-3,-3,"Within Limit","Within Limit"
"DEL02",2011,8,63,54,65,55,2011-08-01,"CPCB, HQ","Delhi","Delhi","Commercial",-2,-1,"Within Limit","Within Limit"
"DEL02",2011,9,63,52,65,55,2011-09-01,"CPCB, HQ","Delhi","Delhi","Commercial",-2,-3,"Within Limit","Within Limit"
"DEL02",2011,10,63,52,65,55,2011-10-01,"CPCB, HQ","Delhi","Delhi","Commercial",-2,-3,"Within Limit","Within Limit"
"DEL02",2011,11,62,55,65,55,2011-11-01,"CPCB, HQ","Delhi","Delhi","Commercial",-3,0,"Within Limit","Within Limit"
"DEL02",2011,12,61,54,65,55,2011-12-01,"CPCB, HQ","Delhi","Delhi","Commercial",-4,-1,"Within Limit","Within Limit"
"DEL03",2011,2,54,50,50,40,2011-02-01,"DCE, Bawana","Delhi","Delhi","Silence",4,10,"Exceeded","Exceeded"
"DEL03",2011,3,53,48,50,40,2011-03-01,"DCE, Bawana","Delhi","Delhi","Silence",3,8,"Exceeded","Exceeded"
"DEL03",2011,4,52,49,50,40,2011-04-01,"DCE, Bawana","Delhi","Delhi","Silence",2,9,"Exceeded","Exceeded"
"DEL03",2011,5,52,51,50,40,2011-05-01,"DCE, Bawana","Delhi","Delhi","Silence",2,11,"Exceeded","Exceeded"
"DEL03",2011,6,67,64,50,40,2011-06-01,"DCE, Bawana","Delhi","Delhi","Silence",17,24,"Exceeded","Exceeded"
"DEL03",2011,7,54,50,50,40,2011-07-01,"DCE, Bawana","Delhi","Delhi","Silence",4,10,"Exceeded","Exceeded"
"DEL03",2011,8,54,50,50,40,2011-08-01,"DCE, Bawana","Delhi","Delhi","Silence",4,10,"Exceeded","Exceeded"
"DEL03",2011,9,54,54,50,40,2011-09-01,"DCE, Bawana","Delhi","Delhi","Silence",4,14,"Exceeded","Exceeded"
"DEL03",2011,10,51,49,50,40,2011-10-01,"DCE, Bawana","Delhi","Delhi","Silence",1,9,"Exceeded","Exceeded"
"DEL03",2011,11,51,47,50,40,2011-11-01,"DCE, Bawana","Delhi","Delhi","Silence",1,7,"Exceeded","Exceeded"
"DEL03",2011,12,51,46,50,40,2011-12-01,"DCE, Bawana","Delhi","Delhi","Silence",1,6,"Exceeded","Exceeded"
"DEL04",2011,2,74,73,65,55,2011-02-01,"ITO","Delhi","Delhi","Commercial",9,18,"Exceeded","Exceeded"
"DEL04",2011,3,73,72,65,55,2011-03-01,"ITO","Delhi","Delhi","Commercial",8,17,"Exceeded","Exceeded"
"DEL04",2011,4,72,70,65,55,2011-04-01,"ITO","Delhi","Delhi","Commercial",7,15,"Exceeded","Exceeded"
"DEL04",2011,5,72,70,65,55,2011-05-01,"ITO","Delhi","Delhi","Commercial",7,15,"Exceeded","Exceeded"
"DEL04",2011,6,73,71,65,55,2011-06-01,"ITO","Delhi","Delhi","Commercial",8,16,"Exceeded","Exceeded"
"DEL04",2011,7,74,71,65,55,2011-07-01,"ITO","Delhi","Delhi","Commercial",9,16,"Exceeded","Exceeded"
"DEL04",2011,8,73,70,65,55,2011-08-01,"ITO","Delhi","Delhi","Commercial",8,15,"Exceeded","Exceeded"
"DEL04",2011,9,73,70,65,55,2011-09-01,"ITO","Delhi","Delhi","Commercial",8,15,"Exceeded","Exceeded"
"DEL04",2011,10,73,71,65,55,2011-10-01,"ITO","Delhi","Delhi","Commercial",8,16,"Exceeded","Exceeded"
"DEL04",2011,11,73,71,65,55,2011-11-01,"ITO","Delhi","Delhi","Commercial",8,16,"Exceeded","Exceeded"
"DEL04",2011,12,73,69,65,55,2011-12-01,"ITO","Delhi","Delhi","Commercial",8,14,"Exceeded","Exceeded"
"DEL05",2011,2,58,54,50,40,2011-02-01,"NSIT, Dwarka","Delhi","Delhi","Silence",8,14,"Exceeded","Exceeded"
"DEL05",2011,3,57,54,50,40,2011-03-01,"NSIT, Dwarka","Delhi","Delhi","Silence",7,14,"Exceeded","Exceeded"
"DEL05",2011,4,56,54,50,40,2011-04-01,"NSIT, Dwarka","Delhi","Delhi","Silence",6,14,"Exceeded","Exceeded"
"DEL05",2011,5,56,54,50,40,2011-05-01,"NSIT, Dwarka","Delhi","Delhi","Silence",6,14,"Exceeded","Exceeded"
"DEL05",2011,6,55,55,50,40,2011-06-01,"NSIT, Dwarka","Delhi","Delhi","Silence",5,15,"Exceeded","Exceeded"
"DEL05",2011,7,55,52,50,40,2011-07-01,"NSIT, Dwarka","Delhi","Delhi","Silence",5,12,"Exceeded","Exceeded"
"DEL05",2011,8,54,52,50,40,2011-08-01,"NSIT, Dwarka","Delhi","Delhi","Silence",4,12,"Exceeded","Exceeded"
"DEL05",2011,9,56,54,50,40,2011-09-01,"NSIT, Dwarka","Delhi","Delhi","Silence",6,14,"Exceeded","Exceeded"
"DEL05",2011,10,57,54,50,40,2011-10-01,"NSIT, Dwarka","Delhi","Delhi","Silence",7,14,"Exceeded","Exceeded"
"DEL05",2011,11,57,54,50,40,2011-11-01,"NSIT, Dwarka","Delhi","Delhi","Silence",7,14,"Exceeded","Exceeded"
"DEL05",2011,12,59,54,50,40,2011-12-01,"NSIT, Dwarka","Delhi","Delhi","Silence",9,14,"Exceeded","Exceeded"
"HYD01",2011,2,72,63,65,55,2011-02-01,"ABITS","Hyderabad","Telangana","Commercial",7,8,"Exceeded","Exceeded"
"HYD01",2011,3,72,62,65,55,2011-03-01,"ABITS","Hyderabad","Telangana","Commercial",7,7,"Exceeded","Exceeded"
"HYD01",2011,4,72,63,65,55,2011-04-01,"ABITS","Hyderabad","Telangana","Commercial",7,8,"Exceeded","Exceeded"
"HYD01",2011,5,72,64,65,55,2011-05-01,"ABITS","Hyderabad","Telangana","Commercial",7,9,"Exceeded","Exceeded"
"HYD01",2011,6,83,75,65,55,2011-06-01,"ABITS","Hyderabad","Telangana","Commercial",18,20,"Exceeded","Exceeded"
"HYD01",2011,7,72,63,65,55,2011-07-01,"ABITS","Hyderabad","Telangana","Commercial",7,8,"Exceeded","Exceeded"
"HYD01",2011,8,73,65,65,55,2011-08-01,"ABITS","Hyderabad","Telangana","Commercial",8,10,"Exceeded","Exceeded"
"HYD01",2011,9,72,64,65,55,2011-09-01,"ABITS","Hyderabad","Telangana","Commercial",7,9,"Exceeded","Exceeded"
"HYD01",2011,10,72,63,65,55,2011-10-01,"ABITS","Hyderabad","Telangana","Commercial",7,8,"Exceeded","Exceeded"
"HYD01",2011,11,73,63,65,55,2011-11-01,"ABITS","Hyderabad","Telangana","Commercial",8,8,"Exceeded","Exceeded"
"HYD01",2011,12,71,63,65,55,2011-12-01,"ABITS","Hyderabad","Telangana","Commercial",6,8,"Exceeded","Exceeded"
"HYD02",2011,2,63,57,75,70,2011-02-01,"Jeedimetla","Hyderabad","Telangana","Industrial",-12,-13,"Within Limit","Within Limit"
"HYD02",2011,3,62,56,75,70,2011-03-01,"Jeedimetla","Hyderabad","Telangana","Industrial",-13,-14,"Within Limit","Within Limit"
"HYD02",2011,4,62,57,75,70,2011-04-01,"Jeedimetla","Hyderabad","Telangana","Industrial",-13,-13,"Within Limit","Within Limit"
"HYD02",2011,5,62,56,75,70,2011-05-01,"Jeedimetla","Hyderabad","Telangana","Industrial",-13,-14,"Within Limit","Within Limit"
"HYD02",2011,6,62,55,75,70,2011-06-01,"Jeedimetla","Hyderabad","Telangana","Industrial",-13,-15,"Within Limit","Within Limit"
"HYD02",2011,7,62,54,75,70,2011-07-01,"Jeedimetla","Hyderabad","Telangana","Industrial",-13,-16,"Within Limit","Within Limit"
"HYD02",2011,8,62,54,75,70,2011-08-01,"Jeedimetla","Hyderabad","Telangana","Industrial",-13,-16,"Within Limit","Within Limit"
"HYD02",2011,9,63,56,75,70,2011-09-01,"Jeedimetla","Hyderabad","Telangana","Industrial",-12,-14,"Within Limit","Within Limit"
"HYD02",2011,10,62,58,75,70,2011-10-01,"Jeedimetla","Hyderabad","Telangana","Industrial",-13,-12,"Within Limit","Within Limit"
"HYD02",2011,11,63,58,75,70,2011-11-01,"Jeedimetla","Hyderabad","Telangana","Industrial",-12,-12,"Within Limit","Within Limit"
"HYD02",2011,12,61,56,75,70,2011-12-01,"Jeedimetla","Hyderabad","Telangana","Industrial",-14,-14,"Within Limit","Within Limit"
"HYD03",2011,2,57,49,55,45,2011-02-01,"Jublee Hills","Hyderabad","Telangana","Residential",2,4,"Exceeded","Exceeded"
"HYD03",2011,3,58,52,55,45,2011-03-01,"Jublee Hills","Hyderabad","Telangana","Residential",3,7,"Exceeded","Exceeded"
"HYD03",2011,4,58,52,55,45,2011-04-01,"Jublee Hills","Hyderabad","Telangana","Residential",3,7,"Exceeded","Exceeded"
"HYD03",2011,5,56,49,55,45,2011-05-01,"Jublee Hills","Hyderabad","Telangana","Residential",1,4,"Exceeded","Exceeded"
"HYD03",2011,6,57,50,55,45,2011-06-01,"Jublee Hills","Hyderabad","Telangana","Residential",2,5,"Exceeded","Exceeded"
"HYD03",2011,7,59,51,55,45,2011-07-01,"Jublee Hills","Hyderabad","Telangana","Residential",4,6,"Exceeded","Exceeded"
"HYD03",2011,8,59,51,55,45,2011-08-01,"Jublee Hills","Hyderabad","Telangana","Residential",4,6,"Exceeded","Exceeded"
"HYD03",2011,9,83,49,55,45,2011-09-01,"Jublee Hills","Hyderabad","Telangana","Residential",28,4,"Exceeded","Exceeded"
"HYD03",2011,10,66,53,55,45,2011-10-01,"Jublee Hills","Hyderabad","Telangana","Residential",11,8,"Exceeded","Exceeded"
"HYD03",2011,11,57,50,55,45,2011-11-01,"Jublee Hills","Hyderabad","Telangana","Residential",2,5,"Exceeded","Exceeded"
"HYD03",2011,12,56,47,55,45,2011-12-01,"Jublee Hills","Hyderabad","Telangana","Residential",1,2,"Exceeded","Exceeded"
"HYD04",2011,2,76,71,50,40,2011-02-01,"Zoo","Hyderabad","Telangana","Silence",26,31,"Exceeded","Exceeded"
